,nombre,apellido,correo,direccion,No.facturacambiaria de luz,Correlativo de factura,Contador de luz,Lectura KWH del mes actual,Pago total de luz,Mes de pago de luz,Lectura KWH enero,Lectura KWH febrero,Lectura KWH marzo,Lectura KWH abril,Numero de factura de agua,Numero de contador de agua,Mes de pago de agua,Pago total de agua mes actual,Lectura consumo de agua mes actual,Lectura consumo de agua enero ,Lectura consumo de agua febrero,Lectura consumo de agua marzo,Lectura consumo de agua abril
1,juan,perez,juan.perez@gmail.com,"5a. Avenida 12-34, Zona 1, Ciudad de Guatemala",123456789,1,5678901,1467,Q800.50,May-23,898,45677,235,2343,123456789,5678901,May-23,Q525.50,4678,2344,1232,2343,1234
2,maria,rodriguez,maria.rodriguez@hotmail.com,"12 Calle 2-55, Zona 5, San Miguel Petapa",234567890,2,6789012,1899,"Q1,050",May-23,1567,656,4567,4543,234567890,6789012,May-23,Q770.75,5789,4342,3245,1232,1257
3,carlos,gonzalez,carlos.gonzalez@yahoo.com,"12 Calle 2-56, Zona 10, San Miguel Petapa",345678901,3,7890123,2250,Q625.00,May-23,6787,5456,4345,3443,345678901,7890123,May-23,Q450.00,6456,6787,4564,980,2455
4,laura,martinez,laura.martinez@outlook.com,"3a. Avenida 8-90, Zona 3, Mixco",456789012,4,8901234,3050,Q950.00,May-23,2356,4565,7900,445,456789012,8901234,May-23,Q625.00,7345,4564,2234,3465,890
5,pedro,lopez,pedro.lopez@gmail.com,"7a. Calle 12-45, Zona 4, Villa Nueva",567890123,5,9012345,3450,Q720.25,May-23,7890,6789,9000,2345,567890123,9012345,May-23,Q840.25,8450,1002,1232,2456,678
6,ana,sanchez,ana.sanchez@yahoo.com.mx,"1a. Avenida 22-98, Zona 6, Chimaltenango",678901234,6,123456,4201,Q550.50,May-23,2343,7898,9989,1007,678901234,123456,May-23,"Q1,050.50",9780,32341,3423,235,978
7,jose,hernandez ,jose.hernandez@icloud.com,"10a. Calle 6-78, Zona 2, Escuintla",789012345,7,1234567,4899,Q350.00,May-23,1234,1234,245,357,789012345,1234567,May-23,"Q1,250.00",10875,31232,1235,890,656
8,sofia,fernandez,sofia.fernandez@hotmail.es,"15 Avenida A 2-12, Zona 7, Quetzaltenango",890123456,8,2345678,5465,Q180.75,May-23,1234,3456,2346,2345,890123456,2345678,May-23,Q570.75,11875,3213,1123,1009,346
9,luis,garcia,luis.garcia@gmail.com.mx,"4a. Calle 11-54, Zona 9, Ciudad de Guatemala",901234567,9,3456789,6120,Q475.00,May-23,9100,6542,800,2342,901234567,3489789,May-23,Q300.00,45125,3443,234,1234,234
10,lucia ,diaz,lucia.diaz@outlook.es,"2a. Avenida 14-36, Zona 5, Chiquimula",12345678,10,4567890,6430,Q690.25,May-23,1000,2345,256,2345,923244567,7829789,May-23,Q50.00,45525,1234,1234,234,578
11,adrian,orantes,ora@gmail.com,"2a. Avenida 14-36, Zona 5, Chiquimula",12345678,10,4567890,6430,Q690.25,May-23,1000,2345,256,2345,923244567,7829789,May-23,Q50.00,45525,1234,1234,234,578
